Sector,Company,Data Version,Statement Type,Particulars,2025/26 (2082/83) Q3,2025/26 (2082/83) Q2,2025/26 (2082/83) Q1,2024/25 (2081/82) Q4,2024/25 (2081/82) Q3,2024/25 (2081/82) Q2,2024/25 (2081/82) Q1,2023/24 (2080/81) Q4,2023/24 (2080/81) Q3,2023/24 (2080/81) Q2,2023/24 (2080/81) Q1,2022/23 (2079/80) Q4,2022/23 (2079/80) Q3,2022/23 (2079/80) Q2,2022/23 (2079/80) Q1,2021/22 (2078/79) Q4,2021/22 (2078/79) Q3,2021/22 (2078/79) Q2,2021/22 (2078/79) Q1,2020/21 (2077/78) Q4,2020/21 (2077/78) Q3,2020/21 (2077/78) Q2,2020/21 (2077/78) Q1,2019/20 (2076/77) Q4,2019/20 (2076/77) Q3,2019/20 (2076/77) Q2,2019/20 (2076/77) Q1,2018/19 (2075/76) Q4,2018/19 (2075/76) Q3,2018/19 (2075/76) Q2,2018/19 (2075/76) Q1,2017/18 (2074/75) Q4,2017/18 (2074/75) Q3,2017/18 (2074/75) Q2,2017/18 (2074/75) Q1,2016/17 (2073/74) Q4,2016/17 (2073/74) Q3,2016/17 (2073/74) Q2,2016/17 (2073/74) Q1,2015/16 (2072/73) Q4,2015/16 (2072/73) Q3,2015/16 (2072/73) Q2,2015/16 (2072/73) Q1,2014/15 (2071/72) Q4,2014/15 (2071/72) Q3,2014/15 (2071/72) Q2,2014/15 (2071/72) Q1,2013/14 (2070/71) Q4,2013/14 (2070/71) Q3,2013/14 (2070/71) Q2,2013/14 (2070/71) Q1,2012/13 (2069/70) Q4,2012/13 (2069/70) Q3,2012/13 (2069/70) Q2,2012/13 (2069/70) Q1,2011/12 (2068/69) Q4,2011/12 (2068/69) Q3,2011/12 (2068/69) Q2,2011/12 (2068/69) Q1,2010/11 (2067/68) Q4,2010/11 (2067/68) Q3,2010/11 (2067/68) Q2,2010/11 (2067/68) Q1
Hydro Power,CHCL,PUBLISHED,BS,Paid up Capital,,9484988.68,8782396.92,8782396.92,8782396.92,8782396.92,7983997.2,7983997.2,7983997.2,7983997.2,7258179.28,7258179.28,7258179.28,7258179.28,6751794.68,6751794.68,6751794.68,6751794.68,6280739.23,6280739.23,6280730.48,6280739.23,5709763,5709763,5709763,5709763,4758136,4758135.78,4758135.78,4758136,3965113,3965113,3965113.15,3965113.15,3447924.48,3447924,3447924,3447924,3134477,3134477,3134477,3134477,2725632,2725632,2725632,2725632,2271360,2271360,2271360,2271360,2271360,1747200,1747200,1747200,1747200,1344000,1344000,960000,960000,825600,825600,729600,729600
Hydro Power,CHCL,PUBLISHED,BS,Share Premium,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414435.84,414435.84,414435.84,588921.844,174486,174486,0,0
Hydro Power,CHCL,PUBLISHED,BS,Reserves,,1978725.99,2849464.62,2686223.38,2512765,2389508.64,3184737.93,2809744.55,2629516.91,2538646.84,3508341.99,3301672.38,3137801.72,3004043.16,3832679.15,3642116.62,3398712.86,3279126.97,4031790.29,3856582.37,3684593.42,3554211.34,4524765,4296295,4072717,3943709,4759917,4558597.64,4510698.09,4420182,5241690,4983026,4702750.83,4568929.71,5215357.85,4935406,4668542,4528326,4639097,4211367,4271323,4348284,4831327,4534369.47,4355495,4202185,4760508,4463933.73,4240966,4092577,3839157,4221845.73,3948219.87,3797565.18,3566872.28,3531442.83,3257517.16,3096985.44,3383282.15,3098142.16,2827686.62,3188277,3047394.69
Hydro Power,CHCL,PUBLISHED,BS,Long Term Liabilities,,311272.61,312968.47,273923.46,274668.57,276704.56,274668.57,381114.13,381114.13,381114.13,329416.95,329416.95,306539.62,306539.62,306539.62,303200.82,290382.67,290382.67,290382.67,266226.94,254291.29,254330.25,254330,239566,235717,235717,235717,216045.02,178754.01,179261,176532,176739,177340.09,177340.08,177340.08,0,171316,172764,85551,85666,86980,86980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydro Power,CHCL,PUBLISHED,BS,Total Sources of Funds,,11774987.28,11944830.01,11742543.76,11569830.49,11448610.12,11443403.7,11174855.88,10994628.24,10903758.17,11095938.22,10889268.61,10702520.62,10568762.06,10891013.45,10697112.12,10440890.21,10321304.32,10602912.19,10403548.54,10219615.19,10089280.82,10488858,10245624,10018197,9889189,9753770,9532778.44,9447587.88,9357579,9383335,9124878,8845204.07,8711382.94,8840622.41,8383330,8287782,8149014,7859125,7431510,7492780,7569741,7556959,7260001.47,7081127,6927817,7031868,6735293.73,6512326,6363937,6110517,5969045.73,5695419.87,5544765.18,5314072.28,5289878.67,5015953,4471421.28,4932203.994,4098228.16,3827772.62,3917877,3776994.69
Hydro Power,CHCL,PUBLISHED,BS,Over Prior Period_Total Sources of Funds,,-0.014218932,0.017226783,0.0149279,0.010588217,0.000454971,0.024031435,0.016392336,0.00833383,-0.017319856,0.0189792,0.017448973,0.012656029,-0.029588742,0.018126512,0.024540236,0.011586316,-0.026559483,0.019163043,0.01799807,0.012918103,-0.038095394,0.023740282,0.02270139,0.013045357,0.01388376,0.023182282,0.009017176,0.009618821,-0.002744866,0.028324433,0.031618709,0.01536164,-0.01461882,0.054547824,0.011528778,0.017028809,0.036885658,0.057540796,-0.008177205,-0.010166926,0.001691421,0.040903233,0.025260735,0.022129626,-0.014797064,0.044032864,0.034237802,0.02331717,0.041472759,0.023700819,0.048043141,0.027170617,0.043411698,0.004573566,0.054610892,0.121780455,-0.093423288,0.203496682,0.070656114,-0.022998267,0.037300108,
Hydro Power,CHCL,PUBLISHED,BS,Period on Period_Total Sources of Funds,,0.028508016,0.043817934,0.050800465,0.052316662,0.049969189,0.031314655,0.026226488,0.027293348,0.031696816,0.018815951,0.017963399,0.025058247,0.023975433,0.027171899,0.028217639,0.021651991,0.022997031,0.010873843,0.015413853,0.020105234,0.02023339,0.0753645,0.074778362,0.060397334,0.056810634,0.039477968,0.044702016,0.068102873,0.074178355,0.061388505,0.088455065,0.067258293,0.069010673,0.124886347,0.12807895,0.106102408,0.076524811,0.039985132,0.02362376,0.058133825,0.092658914,0.074673046,0.07790421,0.087342218,0.088605528,0.150781186,0.128370268,0.143432117,0.147737874,0.149874649,0.128389913,0.135461172,0.240045353,0.077423457,0.290772125,0.310410387,0.141286794,0.305854098,,,,
Hydro Power,CHCL,PUBLISHED,BS,Fixed Assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydro Power,CHCL,PUBLISHED,BS,Depreciation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydro Power,CHCL,PUBLISHED,BS,Net Fixed Assets,,2123055.63,2140846.39,2183671.71,1603194.79,1624858.08,1635089.25,1658025.62,1669652.65,1690532.85,1712445.02,1729471.25,1640941.69,1656869.76,1671862.51,1687431.93,1696402.24,1706051.42,1714318.76,1759275.53,1710143.73,1722515.57,1739493,1755787,1765764,1787676,1802233,1821220.12,1834270.43,1849950,1867057,1885203,1901588.97,1889127.93,1909637.49,1928685,1937983,1954855,1609059,1510999,1543336,1542470,1569590,1597686.72,1624594,1648797,1674186,1699918.34,1728003,1751676,1773856,1797968.47,1801215.79,1827189.88,1660365.46,1681573.34,1700803.69,1726850.73,1751624.15,1778037.14,1795717.64,1817175,1790406.94
