Company,Fiscal Year,Quarter,Period,"Advances, Payments, Loans and Deposits",Application of Funds,Cash at Hand,Deferred Liabilities,Inventory,Investments,Long Term Liabilities,Net Fixed Assets,Paid up Capital,Receivables,Reserves,Share Premium,Short Term Liabilities,Total Current Assets,Total Short Term Liabilities,Total Sources of Funds,Administrative Expenses,Bonuses,Cost of Production,Depreciation,Forex Gain,Gross Profit,Income from Dividend,Income from Other Sources,Income from Sale of Energy,Net Interest Income,Net Profit,Operating Profit,Profit Before Taxes,Taxes,Book Value per Share,Dividend Per Share (Rs.),EPS (Anualized),Gross Profit (Rs. 000),Market Value Per Share,Net Income (Rs. 000),Reported PE (Annualized),Return on Asset (TTM) %,Return on Equity (TTM) %,Total Revenue (Rs. 000),Current Ratio,Equity,Debt to Equity,Asset Intensity,Investment Ratio,Gross Margin,Net Margin,Operating Margin,Effective Tax Rate,OpEx Ratio,Depreciation Rate,ROA_manual,ROE_manual,QoQ_Income_from_Sale_of_Energy,QoQ_Net_Profit,QoQ_Gross_Profit,QoQ_Operating_Profit,QoQ_Total_Sources_of_Funds,QoQ_Total_Current_Assets,YoY_Revenue
BARUN,2014/15,Q1,2014/15 (2071/72) Q1,5790.2638,543617.5389,773.2743,0.0,0.0,800.0,355343.3852,555941.697,194400.0,24193.4675,-21616.1129,0.0,43881.1637,30757.0056,43881.1637,528127.2723,640.8291,0.0,5820.0571,4906.1105,0.0,29518.7641,0.0,693.109,35338.8212,-9174.667,15490.2665,29571.044,15490.2665,0.0,88.8806,0.0,31.873,29518.7641,0.0,15490.2665,0.0,0.0,0.0,35338.8212,0.7009159057465767,172783.88709999993,2.0565770985019016,1.052666139695583,0.0015147863819188693,0.8353069824524642,0.43833568789214633,0.8367863724893905,0.0,0.01813385614571609,0.008824865136892205,0.029330555933117584,0.08965110555149629,,,,,,,
BARUN,2014/15,Q2,2014/15 (2071/72) Q2,6120.1838,544595.6214,6185.4669,0.0,0.0,800.0,347332.75,555593.4831,194400.0,10257.7185,2862.8714,0.0,34361.2309,22563.3691,34361.2309,544595.6214,682.351,0.0,1080.0471,5254.3243,0.0,16816.297,0.0,0.0,17896.344,-6797.0144,4082.6073,16133.946,4082.6073,0.0,101.4727,0.0,4.2002,16816.297,0.0,4082.6073,0.0,0.0,0.0,17896.344,0.6566519449103712,197262.87139999995,1.7607608950175626,1.0201945466835127,0.0014689798605861477,0.9396498525061352,0.2281252137307917,0.9015218974333025,0.0,0.038127955072832856,0.009457138105153542,0.007496584877977487,0.020696278377300256,-0.49357835399444505,-0.7364404737646056,-0.43031839195462795,-0.45440052775952045,0.031182538686707284,-0.26639903138035004,
BARUN,2014/15,Q3,2014/15 (2071/72) Q3,5499.5683,537537.3523,4962.7857,0.0,0.0,800.0,344966.863,546252.5155,196830.0,8136.8623,-4259.5107,0.0,28114.3794,18599.2162,28114.3794,537537.3523,2200.4398,0.0,7936.3249,14595.292,0.0,57087.2699,0.0,500.0,65023.5947,-23434.9359,17356.6022,55386.8301,17356.6022,0.0,97.8359,0.0,11.7574,57087.2699,0.0,17356.6022,0.0,0.0,0.0,65023.5947,0.6615552822766323,192570.48930000002,1.7913796877910213,1.0162131304228603,0.0014882686692877815,0.8779470000602585,0.2669277556874249,0.8517958804882737,0.0,0.0338406360053171,0.02671894698121527,0.03228910907443923,0.09013116320725842,2.63334515138958,3.251352364945803,2.3947586617909997,2.4329376148897484,-0.012960568948121809,-0.175689759912672,
BARUN,2014/15,Q4,2014/15 (2071/72) Q4,6521.3835,536084.4627,402.5561,0.0,0.0,800.0,310073.613,541431.074,243000.0,7150.2631,9398.202,0.0,20220.814,14074.2027,20220.814,562471.815,22807.4794,0.0,1516.4749,4906.1105,0.0,9893.8551,0.0,37.5366,11410.3301,-8605.1542,-26387.3524,-12876.0877,-26387.3524,0.0,103.8676,0.0,-10.859,9893.8551,0.0,-26387.3524,0.0,0.0,0.0,11410.3301,0.6960255259753294,252398.20199999993,1.2285095953258767,0.9625923638502653,0.0014222934886079556,0.8670963077570503,-2.3125844886816807,-1.128458825218288,-0.0,1.998844836224151,0.009061375926864497,-0.04691319937515438,-0.10454651495496749,-0.8245201583726038,-2.5203063419866822,-0.8266889427830214,-1.2324756205898124,0.04638647452741851,-0.24329054791029314,
BARUN,2015/16,Q1,2015/16 (2072/73) Q1,28862.135,510953.8901,1952.2928,0.0,0.0,800.0,294660.9678,514506.372,243000.0,0.0,-26707.0777,0.0,35166.9097,30814.4278,35166.9097,510953.8901,2639.5897,0.0,594.4074,3706.1105,0.0,-594.4074,0.0,30000.0,0.0,-9488.1876,-9717.9268,26766.0029,-9717.9268,0.0,89.0094,0.0,-15.9966,-594.4074,280.0,-9717.9268,-17.5037,-0.0961,-0.2501,0.0,0.8762335975173596,216292.92230000003,1.3623236704495651,1.0069526467433367,0.001565699010224638,-594407400000.0,-9717926799999.998,26766002899999.996,-0.0,2639589700000.0,0.007203235376062539,-0.01901918546524435,-0.04492947201721706,-1.0,-0.6317202782345075,-1.0600784420220588,-3.0787372316515054,-0.09159201141482964,1.1894261761627178,-1.0
BARUN,2015/16,Q2,2015/16 (2072/73) Q2,75128.8568,501718.7834,262.4761,0.0,0.0,800.0,290600.9678,514557.247,243000.0,0.0,-31882.1843,0.0,89029.7965,75391.333,89029.7965,501718.7834,2028.1586,0.0,491.4791,3710.7355,0.0,-491.4791,0.0,0.0,0.0,-6369.595,-12599.9681,-2519.6376,-12599.9681,0.0,86.8798,0.0,-10.3703,-491.4791,290.0,-12599.9681,-27.9644,-0.081,-0.2013,0.0,0.8468101238443149,211117.81560000003,1.3764871854803264,1.0255889634288684,0.0015945187353334366,-491479100000.0,-12599968100000.0,-2519637600000.0,-0.0,2028158599999.9998,0.007211511491937053,-0.025113606500067054,-0.05968216402860479,,0.2965695625531981,-0.1731612022326775,-1.094135744115906,-0.018074246774386182,1.4466244672568607,-1.0
BARUN,2015/16,Q3,2015/16 (2072/73) Q3,89338.6809,492958.5182,1538.7993,0.0,0.0,800.0,283461.9678,499100.6561,243000.0,0.0,-36714.185,0.0,97819.6182,90877.4803,97819.6182,489747.7827,2002.663,0.0,1910.6299,3210.7355,0.0,1223.0062,0.0,25020.0,3133.6361,-10010.5833,-8389.0019,24240.3432,-8389.0019,0.0,84.8913,0.0,-4.603,1223.0062,492.0,-8389.0019,-106.8864,-0.1002,-0.2417,3133.6361,0.9290312308742896,206285.8149,1.3741224423861178,1.0190973266860675,0.0016334938681897954,0.39028341548644074,-2.677082351711905,7.735532278298767,-0.0,0.6390860125715813,0.006433042034223832,-0.01712922895485318,-0.04066688688248704,,-0.33420451278761576,-3.4884195482574945,-10.62056733873157,-0.0238599811210497,0.2054101802391528,-0.9518077074259322
BARUN,2015/16,Q4,2015/16 (2072/73) Q4,34512.705,495056.9461,137.7895,0.0,0.0,800.0,304942.4785,599774.5239,243000.0,9428.8709,-52885.5325,0.0,149596.9433,44079.3654,149596.9433,495056.9461,1877.2993,0.0,2246.0623,4499.7,0.0,3167.6325,0.0,20936.1868,5413.6948,-6995.7739,-4795.375,22226.52,-4795.375,0.0,78.2364,0.0,-1.9734,3167.6325,0.0,-4795.375,-250.8354,-0.0094,-0.0223,5413.6948,0.2946541849561956,190114.46759999997,1.60399406920254,1.2115263276779602,0.0016159757100719496,0.5851147168472473,-0.885785988526563,4.105610090911644,-0.0,0.3467685876935015,0.007502319322836432,-0.009686511900857845,-0.02522361954109365,0.7276080014523703,-0.42837359471810343,1.5900379736423251,-0.08307733860797806,0.010840607323897133,-0.5149583235088879,-0.5255444187368427
BARUN,2016/17,Q1,2016/17 (2073/74) Q1,32316.477,490655.2559,490.8299,0.0,0.0,800.0,294230.9406,572185.8787,243000.0,30005.3666,-46575.6847,0.0,145143.2963,62812.6735,145143.2963,490655.2559,1615.0835,0.0,1280.3099,4990.5736,0.0,19481.0358,0.0,30611.072,20761.3457,-13886.9714,6309.8478,48477.0244,6309.8478,0.0,80.8331,0.0,10.3866,19481.0358,400.0,6309.8478,38.5112,0.0226,0.055,20761.3457,0.4327631733688246,196424.31530000002,1.4979354269384513,1.1661668183915583,0.0016304727002925362,0.9383320369256729,0.3039228714350484,2.334965425675546,0.0,0.07779281378662858,0.008721944713732745,0.012860043226126149,0.03212355756650036,2.8349678855187777,-2.3158194718869742,5.150030282868988,1.1810442840354676,-0.008891280558077197,0.42499042193561154,
BARUN,2016/17,Q2,2016/17 (2073/74) Q2,32316.477,483701.4453,830.5051,0.0,0.0,800.0,280208.2459,572104.2983,243000.0,15934.0839,-39506.8005,0.0,138283.9189,49081.066,138283.9189,483701.4453,3293.7226,0.0,2695.4727,10093.3076,0.0,40620.5536,0.0,30611.072,43316.0263,-21176.2319,13378.7319,67937.9031,13378.7319,0.0,83.7421,0.0,11.0113,40620.5536,285.0,13378.7319,25.8825,0.043,0.1051,43316.0263,0.3549296721587173,203493.19940000004,1.3769907138233268,1.1827632599798619,0.0016539127756871276,0.9377719303859382,0.3088633247967091,1.56842418160593,0.0,0.07603935266795063,0.017642425742984462,0.027659069514878648,0.06574535138986042,1.086378548188232,1.120293915805703,1.0851331529301946,0.401445405135056,-0.014172497932881,-0.2186120528685982,
