Company,Fiscal Year,Quarter,Period,"Advances, Payments, Loans and Deposits",Application of Funds,Cash at Hand,Deferred Liabilities,Inventory,Investments,Long Term Liabilities,Net Fixed Assets,Paid up Capital,Receivables,Reserves,Share Premium,Short Term Liabilities,Total Current Assets,Total Short Term Liabilities,Total Sources of Funds,Administrative Expenses,Bonuses,Cost of Production,Depreciation,Forex Gain,Gross Profit,Income from Dividend,Income from Other Sources,Income from Sale of Energy,Net Interest Income,Net Profit,Operating Profit,Profit Before Taxes,Taxes,Book Value per Share,Dividend Per Share (Rs.),EPS (Anualized),Gross Profit (Rs. 000),Market Value Per Share,Net Income (Rs. 000),Reported PE (Annualized),Return on Asset (TTM) %,Return on Equity (TTM) %,Total Revenue (Rs. 000),Current Ratio,Equity,Debt to Equity,Asset Intensity,Investment Ratio,Gross Margin,Net Margin,Operating Margin,Effective Tax Rate,OpEx Ratio,Depreciation Rate,ROA_manual,ROE_manual,QoQ_Income_from_Sale_of_Energy,QoQ_Net_Profit,QoQ_Gross_Profit,QoQ_Operating_Profit,QoQ_Total_Sources_of_Funds,QoQ_Total_Current_Assets,YoY_Revenue
CHCL,2010/11,Q1,2010/11 (2067/68) Q1,1225833.88,3776994.69,311243.74,0.0,31447.68,228078.45,0.0,1790406.94,729600.0,182436.31,3047394.69,0.0,27992.48,1750961.61,27992.48,3776994.69,10404.95,0.0,8068.85,35000.0,0.0,263414.9,0.0,0.0,271483.75,15436.85,233446.8,253009.95,233446.8,0.0,517.6802,0.0,127.9862,263414.9,920.0,233446.8,7.1883,0.0,0.0,271483.75,62.55114266402754,3776994.69,0.0,0.4740295094245948,0.06038622468913239,0.9702786999221834,0.8598923508313081,0.9319524649265346,0.0,0.03832623499564877,0.019548628425222696,0.06180755313690948,0.06180755313690948,,,,,,,
CHCL,2010/11,Q2,2010/11 (2067/68) Q2,1457713.79,3917877.01,277485.42,0.0,31537.35,276883.52,0.0,1817175.0,729600.0,115894.46,3188277.0,0.0,100936.43,1882631.02,100936.43,3917877.0,22193.48,0.0,23656.0,52177.56,0.0,451299.59,0.0,0.0,474955.59,62859.81,439788.36,429106.11,439788.36,0.0,536.9897,0.0,120.556,451299.59,960.0,439788.36,7.9631,0.0,0.0,474955.59,18.651650548766003,3917877.0,0.0,0.46381624537983185,0.07067182558309001,0.9501932380667403,0.9259568036666314,0.903465753503394,0.0,0.046727484563346126,0.028713558132816033,0.1122517016230984,0.1122517016230984,0.7494807331930549,0.8838911477904174,0.7132652329082372,0.6960048804404726,0.03730010803907158,0.07519834201276399,
CHCL,2010/11,Q3,2010/11 (2067/68) Q3,1801798.67,3827772.62,80595.75,0.0,33517.81,169854.0,0.0,1795717.64,825600.0,107381.08,2827686.62,174486.0,201352.21,2023293.31,201352.21,3827772.62,36731.26,0.0,45942.47,78549.06,0.0,563464.02,0.0,103.0,609406.49,126271.93,574558.63,526835.76,574558.63,0.0,463.6352,0.0,92.7905,563464.02,930.0,574558.63,10.0226,0.0,0.0,609406.49,10.048527950102908,3827772.62,0.0,0.46912860774891046,0.04437410913922049,0.924611124505745,0.9428167232022735,0.8645063166294785,0.0,0.06027382478319182,0.043742433804904855,0.15010260196698932,0.15010260196698932,0.28308099289872546,0.30644346748968077,0.24853652093944945,0.22775170924506294,-0.022998266663297517,0.07471580384349563,
CHCL,2010/11,Q4,2010/11 (2067/68) Q4,1723481.42,4098228.16,73099.08,0.0,53455.05,362172.46,0.0,1778037.14,825600.0,205288.4,3098142.16,174486.0,105713.28,2055323.95,105713.28,4098228.16,50573.12,0.0,74101.0,106217.66,0.0,811063.47,0.0,220.73,885164.47,190520.74,845014.16,760711.08,845014.16,0.0,496.3939,70.0,102.3515,811063.47,822.0,845014.16,8.0311,0.0,0.0,885164.47,19.44243854698275,4098228.16,0.0,0.4338550882437935,0.08837293724515326,0.9162856141299922,0.9546408477059626,0.859400829768957,0.0,0.05713415044776927,0.05973871839370012,0.20619012095217262,0.20619012095217262,0.452502532422981,0.47071876720396677,0.4394237097871838,0.4439245354187802,0.07065611436449437,0.015830942474672538,
CHCL,2011/12,Q1,2011/12 (2068/69) Q1,1859893.35,4932203.99,804500.15,0.0,54887.93,342549.09,0.0,1751624.15,960000.0,189208.81,3383282.15,588921.844,104245.11,2908490.24,104245.11,4932203.994,14372.8,0.0,9392.34,26413.0,0.0,262086.97,0.0,9.37,271479.31,65704.28,287014.82,247723.54,287014.82,0.0,513.7712,0.0,119.5895,262086.97,855.0,287014.82,7.1495,0.2186,0.2186,271479.31,27.900495668333722,4932203.994,0.0,0.3551402480779062,0.06945152520388635,0.9654031093566543,1.0572253922407528,0.9124950995344695,0.0,0.05294252442294754,0.015079148115193541,0.05819200105047398,0.05819200105047398,-0.6933007150637214,-0.6603431828882016,-0.6768600982608672,-0.6743526596194707,0.20349668233210316,0.41510064143416425,-1.6354570024912363e-05
CHCL,2011/12,Q2,2011/12 (2068/69) Q2,2206314.77,4471421.27,691690.04,0.0,52057.86,420603.62,0.0,1726850.73,960000.0,131043.22,3096985.44,414435.84,766867.37,3081105.89,766867.37,4471421.28,20541.79,0.0,36435.27,52845.05,0.0,443701.46,0.0,19.37,480136.73,127898.12,498232.11,423179.04,498232.11,0.0,465.7731,0.0,103.7984,443701.46,609.0,498232.11,5.8671,0.2126,0.2126,480136.73,4.017781966652194,4471421.28,0.0,0.3861972786424632,0.0940648607370764,0.9241148037143485,1.037687972757258,0.8813719375312093,0.0,0.04278320885802667,0.03060197912995061,0.11142589320056191,0.11142589320056191,0.7685941886326437,0.735910744957351,0.6929550522866514,0.7082714061005262,-0.09342328795819055,0.05934888404507754,0.010908683062346824
CHCL,2011/12,Q3,2011/12 (2068/69) Q3,2360265.01,5015953.01,470792.81,0.0,44730.64,443769.88,0.0,1700803.69,1344000.0,112639.98,3257517.16,414435.84,128158.25,2988428.44,128158.25,5015953.0,28164.74,0.0,58452.49,79267.59,0.0,565872.2,0.0,19.37,624324.69,200304.58,658763.82,537726.83,658763.82,0.0,373.2108,0.0,65.3536,565872.2,637.0,658763.82,9.747,0.2079,0.2079,624324.69,23.318268156751333,5015953.0,0.0,0.3390788729479721,0.08847169819972395,0.9063748544046833,1.0551622105478464,0.8612935522380175,0.0,0.04511232768961925,0.04660596073847885,0.13133373059915032,0.13133373059915032,0.30030603990659066,0.32220265771308876,0.27534446246807476,0.27068398756233303,0.12178045545285765,-0.030079281046715423,0.02447988369798937
CHCL,2011/12,Q4,2011/12 (2068/69) Q4,2587526.49,5289878.67,306278.07,0.0,43486.46,448118.48,0.0,1681573.34,1344000.0,205730.01,3531442.83,414435.84,116217.7,3143021.03,116217.7,5289878.67,58237.64,0.0,102603.34,106567.56,0.0,798051.55,0.0,147.37,900654.89,299295.78,932689.5,739961.28,932689.5,0.0,393.5922,50.0,69.3965,798051.55,910.0,932689.5,13.113,0.1959,0.1959,900654.89,27.04425427452077,5289878.67,0.0,0.3178850489589773,0.08471243065391515,0.8860791840035411,1.0355681297638866,0.8215813717505038,0.0,0.0646614376345638,0.06337372118423329,0.17631585867734087,0.17631585867734087,0.44260655461183207,0.4158177357098938,0.4103035102272212,0.3760914254548171,0.054610892486432805,0.05173039713141003,0.017500047194619173
CHCL,2012/13,Q1,2012/13 (2069/70) Q1,2694298.13,5314072.28,490747.19,0.0,40996.37,564661.34,0.0,1660365.46,1747200.0,204539.64,3566872.28,0.0,357237.87,3430581.33,357237.87,5314072.28,9842.09,0.0,11011.88,26693.63,0.0,284684.95,0.0,660.72,295696.83,59970.3,308780.25,275503.58,308780.25,0.0,304.1479,0.0,70.6914,284684.95,965.0,308780.25,13.6509,0.1907,0.1907,295696.83,9.603072960881752,5314072.28,0.0,0.3124469093596897,0.10625774551941168,0.9627595601887211,1.0442460610754567,0.9317096162309183,0.0,0.03328439469574282,0.0160769605506007,0.05810614416407598,0.05810614416407598,-0.6716868655429162,-0.6689356425691508,-0.643274986434147,-0.6276783833878443,0.0045735661457051435,0.09149168817365516,0.08920576673043712
CHCL,2012/13,Q2,2012/13 (2069/70) Q2,2706136.82,5544765.17,375376.97,0.0,40993.24,566238.83,0.0,1827189.88,1747200.0,159384.76,3797565.18,0.0,146454.79,3281891.79,146454.79,5544765.18,21767.69,0.0,26829.48,53387.27,0.0,489213.33,0.0,707.17,516042.81,124707.6,539473.14,468152.81,539473.14,0.0,317.3515,0.0,61.7529,489213.33,1130.0,539473.14,18.2987,0.19,0.19,516042.81,22.408907144655206,5544765.18,0.0,0.32953422204256444,0.10212133636288631,0.9480091971439328,1.0454038493434274,0.9071976218407134,0.0,0.04218194610637043,0.0292182386649383,0.09729413644889466,0.09729413644889466,0.7451753202765141,0.7471102507365674,0.7184376272788568,0.6992621656676838,0.04341169781755383,-0.04334237427917209,0.07478303107533568
