Company,Fiscal Year,Quarter,Period,"Advances, Payments, Loans and Deposits",Application of Funds,Cash at Hand,Deferred Liabilities,Inventory,Investments,Long Term Liabilities,Net Fixed Assets,Paid up Capital,Receivables,Reserves,Share Premium,Short Term Liabilities,Total Current Assets,Total Short Term Liabilities,Total Sources of Funds,Administrative Expenses,Bonuses,Cost of Production,Depreciation,Forex Gain,Gross Profit,Income from Dividend,Income from Other Sources,Income from Sale of Energy,Net Interest Income,Net Profit,Operating Profit,Profit Before Taxes,Taxes,Book Value per Share,Dividend Per Share (Rs.),EPS (Anualized),Gross Profit (Rs. 000),Market Value Per Share,Net Income (Rs. 000),Reported PE (Annualized),Return on Asset (TTM) %,Return on Equity (TTM) %,Total Revenue (Rs. 000),Current Ratio,Equity,Debt to Equity,Asset Intensity,Investment Ratio,Gross Margin,Net Margin,Operating Margin,Effective Tax Rate,OpEx Ratio,Depreciation Rate,ROA_manual,ROE_manual,QoQ_Income_from_Sale_of_Energy,QoQ_Net_Profit,QoQ_Gross_Profit,QoQ_Operating_Profit,QoQ_Total_Sources_of_Funds,QoQ_Total_Current_Assets,YoY_Revenue
RADHI,2017/18,Q1,2017/18 (2074/75) Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
RADHI,2017/18,Q2,2017/18 (2074/75) Q2,50356.9341,790462.3107,1592.1515,1013.1894,0.0,186417.7,331999.9246,540621.7964,337367.8,70168.9466,121094.5862,0.0,57682.0285,122118.0321,58695.2178,790462.3107,6350.028,759.6957,5992.2445,9758.7662,0.0,73550.7924,0.0,725.4255,79543.037,-19422.9409,37803.4306,67926.1899,38744.4827,181.3564,135.8939,0.0,22.4108,73550.7924,0.0,37803.4306,0.0,0.0,0.0,79543.037,2.1170897639287753,458462.3861,0.7241595704812812,0.683931149002218,0.23583376142869622,0.9246666354969459,0.4752575715709663,0.8539551978635056,0.004680831627156951,0.07983134966294939,0.018051003982790918,0.047824456761920535,0.08245699482913353,,,,,,,
RADHI,2017/18,Q3,2017/18 (2074/75) Q3,51989.7834,864543.5564,15218.2842,2413.5656,0.0,228917.7,324499.9246,535194.2925,410000.0,79136.939,130043.6318,0.0,43499.8772,146345.0067,45913.4427,864543.5564,11708.1826,869.385,11702.317,15334.6255,0.0,96360.5154,0.0,4521.08,108062.8324,-29500.1521,42338.9801,89173.4127,44338.6351,1130.27,131.718,0.0,13.7688,96360.5154,196.0,42338.9801,14.2351,0.0,0.0,108062.8324,3.3642625248605675,540043.6318,0.6008772356382027,0.6190483851716778,0.2647844614714657,0.8917082151179957,0.3917996517366836,0.8251996613407218,0.02549176350266079,0.10834606441427952,0.02865244587786775,0.04897263970863591,0.07839918407866674,0.35854546765671014,0.11997719328679124,0.31012205655040637,0.3127986838549295,0.09371888412288332,0.19838982157983853,
RADHI,2017/18,Q4,2017/18 (2074/75) Q4,18738.3848,862091.6561,11251.8179,4483.2982,0.0,302805.5,316999.9251,535252.6811,451004.0,80851.1187,94087.731,0.0,82324.5483,110841.3214,86807.8464,862091.6561,14998.3658,1064.5088,21680.8882,20174.4142,0.0,115930.1401,0.0,13513.4474,137611.0283,-39980.8576,49847.0793,114445.2217,54289.9499,3378.3619,120.8618,10.0,11.0525,115930.1401,0.0,49847.0793,19.9051,0.0,0.0,137611.0283,1.3463945285928602,545091.731,0.5815533552828732,0.6208767679314039,0.35124513485011055,0.842448032924111,0.3622317187495331,0.8316573396319804,0.062228127051558356,0.10899101609285694,0.03769138373775062,0.057821090074693667,0.091447139013745,0.2734353268719245,0.17733301988537975,0.2030875885082699,0.28340071591764926,-0.00283606335603237,-0.2426026422123222,
RADHI,2018/19,Q1,2018/19 (2075/76) Q1,18200.6146,870854.1047,12422.6503,685.5867,0.0,349805.5,306999.9251,530245.9287,451004.0,40105.7348,112850.1796,0.0,79240.737,70728.9996,79926.3236,870854.1047,4219.0426,393.8924,4555.0786,5094.3682,0.0,39065.9423,0.0,1005.0649,43621.0208,-10669.0844,19443.3534,35851.9645,20088.512,251.2662,125.022,0.0,17.2445,39065.9423,196.0,19443.3534,11.3659,0.0,0.0,43621.0208,0.8925838183458479,563854.1796,0.5444668785071101,0.6088803231658,0.4016809453065664,0.8955760682244078,0.4457335716453375,0.8218965040817932,0.012507954795257483,0.09672040045426684,0.00960755740735212,0.022326763225968837,0.03448294630677943,-0.6830121732329211,-0.6099399669340306,-0.6630216933551347,-0.6867325348542708,0.010164172844034036,-0.3618896030230835,
RADHI,2018/19,Q2,2018/19 (2075/76) Q2,14670.1439,875353.5512,23275.5321,1419.8878,0.0,349805.5,296999.9253,527298.2651,451004.0,40453.7072,127349.6259,0.0,78729.7093,78399.3832,80149.5971,875353.5512,8626.1402,731.6833,7396.0358,10082.7142,0.0,73666.0305,68.7895,2591.1077,81062.0663,-20301.224,35936.3892,67699.7876,37315.8494,647.7769,128.2369,0.0,15.9362,73666.0305,164.0,35936.3892,10.2911,0.0563,0.0893,81062.0663,0.9958043017948626,578353.6259,0.5135265207991488,0.6023831906286774,0.3996162459390952,0.908760828121144,0.4433194321373911,0.8351599051207402,0.017359296663899137,0.10641401821754318,0.019121462874693577,0.041053571040793366,0.06213566854375268,0.8583257524317269,0.8482608663585778,0.8856842088767429,0.8883145887305559,0.005166705279008754,0.10844750587989371,0.01909694873732337
RADHI,2018/19,Q3,2018/19 (2075/76) Q3,14285.7616,887557.9234,23796.3225,0.0,40.6627,357537.6688,292602.7982,522484.9648,451004.0,45707.6891,143951.1253,0.0,76295.146,83830.4358,76295.146,887557.9234,13028.4705,0.0,11090.0754,15090.292,0.0,103487.2049,0.0,1428.3638,114577.2802,-28437.7496,47203.3705,91887.0982,48359.0565,1155.6861,131.9179,0.0,13.955,103487.2049,166.0,47203.3705,11.8953,0.0627,0.0969,114577.2802,1.0987649961374857,594955.1251999999,0.49180650070312154,0.5886770328166273,0.40283305390409585,0.9032087750674247,0.41197845172798564,0.801966131850974,0.023898028283491763,0.11370902221852432,0.02888177271431404,0.053183425279080716,0.07933937956099134,0.4134512655520599,0.3135256922250831,0.40481581805877287,0.3572730647680791,0.01394222046996818,0.06927417510601042,0.060283889060823714
RADHI,2018/19,Q4,2018/19 (2075/76) Q4,16231.5972,859309.4968,25422.5034,1138.5594,534.1342,353976.6783,281658.8165,517405.0389,473556.5,51672.1071,104094.1803,0.0,104794.0029,93860.3419,105932.5622,859309.4968,17692.2672,0.0,15709.8297,20135.9845,0.0,130119.6231,0.0,2213.5443,145829.4527,-37576.5672,55267.906,114640.9001,56928.3484,1660.4423,121.9814,0.0,11.6708,130119.6231,0.0,55267.906,12.7669,0.0635,0.0966,145829.4527,0.8956652031850106,577650.6802999999,0.4875936722756415,0.6021172125139713,0.41193153295544915,0.8922725875388211,0.37899001180301095,0.7861299482199814,0.02916723120672812,0.12132163203270309,0.03891725628109255,0.06431664750106127,0.0956770378445617,0.27276064194793137,0.1708466029984026,0.25734986490102796,0.24762782094254887,-0.03182713584685015,0.11964516233613565,0.05972213493008249
RADHI,2019/20,Q1,2019/20 (2076/77) Q1,15780.9641,880551.3746,11071.9272,497.8384,2229.4074,360806.2233,273177.1179,512430.7457,473556.5,66596.1124,133817.7567,0.0,87866.1671,95678.4112,88364.0056,880551.3746,4391.1807,0.0,3896.4476,5002.3966,0.0,42985.1222,0.0,61.2052,46881.5698,-8760.8284,24690.6057,38655.1467,24891.9217,201.316,128.258,0.0,20.8555,42985.1222,148.0,24690.6057,7.0965,0.0692,0.1035,46881.5698,1.0889107190838065,607374.2567,0.4497673631810341,0.5819430421453565,0.40975033792196364,0.9168874332360578,0.5266591073065876,0.8245275673341292,0.00808760377869869,0.09366539385803388,0.00976209300862017,0.0280399377165426,0.04065138656707239,-0.6785178238552081,-0.5532559945368656,-0.6696491952872864,-0.6628153942765493,0.024719705623064803,0.019369941161486492,0.07474719619583037
RADHI,2019/20,Q2,2019/20 (2076/77) Q2,3379.9681,889687.2098,18660.5331,880.0445,2370.4014,372977.9505,262872.7789,508040.5484,473556.5,65739.7603,153257.9309,0.0,80601.9074,90150.6628,81481.9519,889687.2098,8155.1476,0.0,7660.9748,9848.0392,0.0,79496.5355,0.0,121.4052,87157.5102,-17612.52,43494.4484,71462.7931,44002.2339,507.7855,132.3632,0.0,18.3693,79496.5355,156.0,43494.4484,8.4924,0.0715,0.1052,87157.5102,1.1184681071207365,626814.4309,0.41937895163415184,0.5710327661271044,0.41922368489915046,0.9121019556155137,0.4990327087154389,0.8199269682671496,0.011539993654730981,0.09356792755192662,0.019384356683762646,0.04888734818361323,0.0693896730130307,0.8590996541246365,0.7615788340097303,0.8493965221296964,0.8487264750181378,0.010375130246262021,-0.05777424949548071,0.07519477578379963
