Company,Year,Station Location,"Rainfall Station (District, Elevation)",Annual Rainfall (mm),rainfall_mm_lag_1y,rainfall_mm_lag_2y,rainfall_mm_yoy_change,rainfall_mm_yoy_pct_change,rainfall_mm_rolling_3y_mean,rainfall_mm_rolling_3y_std,rainfall_mm_expanding_mean,rainfall_mm_vs_company_mean,rainfall_mm_company_zscore,rainfall_cumulative_mm,rainfall_intensity_category,rainfall_to_generation_index
BARUN,2018,Chainpur East Sankhuwasabha ~1277m,"Chainpur East (Sankhuwasabha, ~1277m)",1038.7,,,,,1038.7,,1038.7,-383.63750000000005,-2.3393727627495986,1038.7,low,0.7302767451466337
BARUN,2019,Chainpur East Sankhuwasabha ~1277m,"Chainpur East (Sankhuwasabha, ~1277m)",1340.0,1038.7,,301.29999999999995,0.2900741311254451,1189.35,213.05127317150684,1189.35,-82.33750000000009,-0.502083620221942,2378.7,low,0.9421111374761615
BARUN,2020,Chainpur East Sankhuwasabha ~1277m,"Chainpur East (Sankhuwasabha, ~1277m)",1500.0,1340.0,1038.7,160.0,0.11940298507462677,1292.8999999999999,234.2290118665919,1292.8999999999999,77.66249999999991,0.47357606382858936,3878.7,normal,1.0546020195628674
BARUN,2021,Chainpur East Sankhuwasabha ~1277m,"Chainpur East (Sankhuwasabha, ~1277m)",1600.0,1500.0,1340.0,100.0,0.06666666666666665,1480.0,131.14877048604058,1369.675,177.6624999999999,1.0833633663601714,5478.7,high,1.1249088208670586
BARUN,2022,Chainpur East Sankhuwasabha ~1277m,"Chainpur East (Sankhuwasabha, ~1277m)",1550.0,1600.0,1500.0,-50.0,-0.03125,1550.0,50.00000000000202,1405.74,127.66249999999991,0.7784697150943805,7028.7,high,1.089755420214963
BARUN,2023,Chainpur East Sankhuwasabha ~1277m,"Chainpur East (Sankhuwasabha, ~1277m)",1400.0,1550.0,1600.0,-150.0,-0.09677419354838712,1516.6666666666667,104.08329997330742,1404.7833333333335,-22.33750000000009,-0.1362112387029927,8428.7,low,0.9842952182586763
BARUN,2024,Chainpur East Sankhuwasabha ~1277m,"Chainpur East (Sankhuwasabha, ~1277m)",1450.0,1400.0,1550.0,50.0,0.03571428571428581,1466.6666666666667,76.37626158259806,1411.2428571428572,27.66249999999991,0.16868241256279834,9878.7,normal,1.0194486189107719
BARUN,2025,Chainpur East Sankhuwasabha ~1277m,"Chainpur East (Sankhuwasabha, ~1277m)",1500.0,1450.0,1400.0,50.0,0.034482758620689724,1450.0,50.00000000000089,1422.3375,77.66249999999991,0.47357606382858936,11378.7,high,1.0546020195628674
CHCL,2018,Dhunche Rasuwa ~2005m,"Dhunche (Rasuwa, ~2005m)",1904.4,,,,,1904.4,,1904.4,-121.8125,-0.8245950792258985,1904.4,low,0.9398816757867203
CHCL,2019,Dhunche Rasuwa ~2005m,"Dhunche (Rasuwa, ~2005m)",1960.5,1904.4,,56.09999999999991,0.02945809703843727,1932.45,39.66869042456525,1932.45,-65.71250000000009,-0.444832871368964,3864.9,normal,0.9675688013966945
CHCL,2020,Dhunche Rasuwa ~2005m,"Dhunche (Rasuwa, ~2005m)",2199.0,1960.5,1904.4,238.5,0.12165263963274664,2021.3,156.42816242607978,2021.3,172.7874999999999,1.1696642155094499,6063.9,high,1.0852761001128952
CHCL,2021,Dhunche Rasuwa ~2005m,"Dhunche (Rasuwa, ~2005m)",2311.8,2199.0,1960.5,112.80000000000018,0.051296043656207546,2157.1000000000004,179.35894178992044,2093.925,285.5875000000001,1.9332502591148393,8375.7,high,1.140946470323325
CHCL,2022,Dhunche Rasuwa ~2005m,"Dhunche (Rasuwa, ~2005m)",1834.0,2311.8,2199.0,-477.8000000000002,-0.20667877844104166,2114.933333333334,249.7470987485807,2041.94,-192.2125000000001,-1.301159418497347,10209.7,low,0.9051370475702819
CHCL,2023,Dhunche Rasuwa ~2005m,"Dhunche (Rasuwa, ~2005m)",1950.0,1834.0,2311.8,116.0,0.06324972737186485,2031.9333333333336,249.214793568386,2026.6166666666668,-76.21250000000009,-0.5159113594705294,12159.7,low,0.9623867190632769
